order_id,customer_id,order_date,status
83,147,2025-04-02,Cancelled
84,10,2025-11-11,Pending
85,124,2025-08-24,Cancelled
86,155,2025-12-11,Pending
87,106,2025-08-04,Pending
88,39,2025-11-06,Completed
89,93,2025-09-26,Completed
90,137,2025-09-14,Completed
91,139,2025-05-08,Cancelled
92,7,2026-02-20,Pending
93,142,2025-12-15,Completed
94,153,2025-11-20,Cancelled
95,62,2025-11-26,Pending
96,52,2025-05-01,Cancelled
97,20,2025-06-21,Pending
98,107,2025-12-03,Pending
99,132,2025-05-25,Pending
100,27,2025-08-20,Cancelled
101,119,2025-10-18,Cancelled
102,101,2025-06-23,Cancelled
103,78,2025-05-07,Cancelled
104,98,2025-12-07,Pending
105,192,2026-02-18,Pending
106,155,2025-06-20,Completed
107,151,2025-08-29,Completed
108,58,2025-05-19,Completed
109,124,2025-11-30,Completed
110,171,2025-05-27,Completed
111,55,2025-07-29,Pending
112,24,2025-11-21,Cancelled
113,102,2025-09-10,Completed
114,47,2025-05-30,Completed
115,110,2025-07-13,Pending
116,91,2025-06-14,Completed
117,60,2025-04-29,Completed
118,13,2025-09-10,Completed
119,55,2025-05-18,Completed
120,62,2026-02-11,Cancelled
121,80,2025-11-25,Completed
122,114,2025-04-24,Cancelled
123,101,2025-12-20,Completed
124,148,2025-09-15,Pending
125,128,2026-02-03,Cancelled
126,94,2025-12-12,Cancelled
127,37,2025-05-27,Pending
128,61,2026-01-08,Pending
129,88,2025-06-23,Completed
130,79,2026-03-03,Completed
131,122,2025-11-07,Pending
132,59,2025-11-30,Pending
133,17,2025-06-14,Cancelled
134,168,2025-08-13,Cancelled
135,132,2025-09-30,Completed
136,52,2025-06-29,Cancelled
137,56,2025-07-15,Cancelled
138,93,2025-11-22,Completed
139,161,2025-12-13,Completed
140,167,2025-12-20,Completed
141,16,2025-12-01,Pending
142,143,2025-12-20,Completed
143,146,2025-06-05,Pending
144,183,2026-01-02,Cancelled
145,16,2025-08-18,Cancelled
146,11,2026-02-24,Pending
147,187,2025-10-21,Cancelled
148,176,2025-03-26,Cancelled
149,134,2025-12-14,Completed
150,153,2025-08-20,Pending
151,140,2025-03-31,Completed
152,21,2025-03-10,Completed
153,159,2025-03-09,Cancelled
154,107,2025-11-06,Cancelled
155,39,2025-07-28,Cancelled
156,37,2026-02-26,Cancelled
157,51,2026-01-11,Cancelled
158,91,2025-07-27,Cancelled
159,88,2025-03-25,Completed
160,57,2026-01-12,Completed
161,147,2025-03-28,Completed
162,9,2025-07-13,Pending
163,165,2026-01-20,Pending
164,101,2025-10-17,Cancelled
165,142,2025-10-24,Completed
166,155,2026-01-03,Completed
167,125,2025-12-19,Completed
168,117,2025-03-31,Pending
169,95,2025-11-10,Completed
170,145,2025-06-05,Pending
171,62,2025-05-29,Cancelled
172,153,2025-07-19,Cancelled
173,117,2025-04-22,Completed
174,60,2025-07-28,Completed
175,57,2025-11-29,Pending
176,134,2026-01-20,Completed
177,120,2025-12-30,Cancelled
178,56,2025-03-11,Pending
179,1,2025-04-30,Completed
180,117,2025-12-08,Cancelled
181,12,2026-03-02,Cancelled
182,132,2025-06-21,Pending
183,54,2025-11-25,Completed
184,193,2026-01-12,Completed
185,17,2025-12-23,Completed
186,159,2025-10-24,Completed
187,150,2025-12-03,Pending
188,154,2026-01-13,Completed
189,95,2025-09-22,Pending
190,26,2025-09-13,Pending
191,46,2025-04-24,Pending
192,180,2025-10-15,Cancelled
193,33,2025-10-08,Cancelled
194,57,2025-08-22,Completed
195,27,2026-02-17,Cancelled
196,149,2025-05-10,Pending
197,18,2026-01-09,Completed
198,145,2025-12-20,Pending
199,39,2025-03-14,Pending
200,149,2025-09-21,Pending
201,51,2025-03-19,Cancelled
202,12,2025-07-27,Pending
203,88,2025-07-13,Completed
204,163,2026-03-01,Pending
205,99,2025-09-04,Pending
206,90,2026-01-29,Cancelled
207,119,2026-01-03,Completed
208,73,2025-05-05,Cancelled
209,162,2025-10-14,Cancelled
210,1,2025-06-10,Pending
211,62,2026-02-11,Cancelled
212,156,2025-04-27,Completed
213,14,2025-12-02,Pending
214,186,2025-12-12,Pending
215,3,2025-10-27,Cancelled
216,31,2025-11-08,Pending
217,89,2025-10-13,Cancelled
218,24,2025-09-04,Completed
219,18,2025-05-15,Cancelled
220,35,2025-05-30,Completed
221,127,2025-03-31,Pending
222,131,2025-08-19,Completed
223,127,2026-01-07,Completed
224,2,2025-07-27,Pending
225,152,2025-04-09,Completed
226,110,2026-02-24,Completed
227,68,2025-09-15,Pending
228,102,2025-11-27,Completed
229,57,2025-06-21,Cancelled
230,73,2025-03-25,Cancelled
231,147,2025-10-10,Pending
232,122,2025-06-07,Pending
233,146,2025-03-24,Cancelled
234,130,2025-12-26,Cancelled
235,100,2025-04-21,Completed
236,66,2025-05-12,Cancelled
237,85,2026-01-08,Completed
238,123,2025-06-15,Cancelled
239,65,2025-12-03,Completed
240,67,2025-11-01,Cancelled
241,44,2025-09-26,Pending
242,159,2025-10-13,Cancelled
243,3,2025-08-24,Completed
244,193,2025-04-09,Completed
245,98,2025-10-18,Pending
246,96,2025-10-12,Cancelled
247,95,2025-09-08,Completed
248,188,2025-11-08,Cancelled
249,191,2025-05-26,Pending
250,72,2025-03-16,Pending
251,142,2025-03-13,Pending
252,185,2025-04-27,Cancelled
253,133,2025-12-17,Pending
254,145,2025-08-16,Pending
255,59,2025-10-04,Completed
256,89,2025-06-20,Cancelled
257,76,2025-11-20,Completed
258,170,2025-06-24,Cancelled
259,159,2025-06-16,Cancelled
260,34,2025-12-23,Completed
261,177,2025-03-30,Cancelled
262,28,2025-09-15,Pending
263,94,2025-06-20,Completed
264,163,2026-02-22,Completed
265,156,2025-09-06,Completed
266,142,2025-10-11,Cancelled
267,80,2025-10-23,Completed
268,158,2025-10-18,Cancelled
269,161,2025-03-27,Completed
270,126,2025-12-22,Pending
271,21,2025-05-01,Pending
272,130,2025-05-31,Completed
273,108,2025-07-03,Completed
274,177,2025-05-08,Completed
275,27,2025-07-03,Pending
276,154,2026-02-10,Completed
277,172,2025-09-05,Pending
278,88,2025-08-22,Cancelled
279,200,2025-07-27,Pending
280,135,2026-01-19,Pending
281,8,2025-05-12,Completed
282,34,2025-07-08,Completed
283,20,2025-08-14,Completed
284,169,2025-10-07,Completed
285,134,2025-06-02,Pending
286,200,2025-06-16,Cancelled
287,196,2025-03-23,Pending
288,162,2025-09-12,Pending
289,71,2025-04-13,Completed
290,17,2025-03-17,Cancelled
291,120,2025-12-11,Pending
292,150,2025-08-03,Cancelled
293,161,2025-12-27,Cancelled
294,103,2025-09-30,Cancelled
295,185,2025-07-14,Pending
296,155,2025-06-18,Pending
297,42,2026-02-20,Completed
298,190,2025-03-18,Completed
299,20,2025-03-19,Completed
300,3,2025-09-11,Pending
301,51,2025-03-06,Pending
302,117,2025-12-06,Completed
303,145,2025-03-29,Pending
304,200,2025-11-17,Completed
305,106,2025-08-27,Completed
306,72,2025-06-26,Pending
307,59,2025-03-20,Pending
308,146,2025-05-25,Completed
309,67,2025-10-19,Cancelled
310,91,2025-04-22,Completed
311,91,2026-02-09,Completed
312,114,2025-12-26,Pending
313,27,2025-07-17,Pending
314,31,2026-02-18,Pending
315,27,2025-12-05,Completed
316,171,2026-01-27,Cancelled
317,4,2026-01-20,Completed
318,51,2025-07-17,Completed
319,163,2026-01-09,Cancelled
320,55,2025-06-28,Pending
321,190,2025-04-23,Completed
322,197,2025-03-23,Pending
323,107,2025-11-29,Completed
324,144,2026-02-27,Cancelled
325,114,2026-02-27,Completed
326,59,2026-02-02,Completed
327,188,2025-06-04,Completed
328,99,2026-01-28,Cancelled
329,67,2025-05-31,Completed
330,15,2025-03-16,Completed
331,74,2025-08-02,Cancelled
332,26,2026-03-01,Pending
333,200,2025-10-18,Pending
334,193,2025-12-09,Completed
335,125,2025-03-13,Pending
336,92,2026-02-25,Completed
337,131,2025-05-03,Cancelled
338,104,2026-02-03,Pending
339,90,2025-08-07,Pending
340,36,2025-08-24,Pending
341,187,2025-10-01,Completed
342,55,2026-02-10,Cancelled
343,146,2025-03-29,Completed
344,138,2025-10-06,Pending
345,23,2026-01-18,Cancelled
346,115,2025-11-13,Completed
347,164,2025-03-23,Completed
348,86,2025-06-29,Pending
349,185,2025-10-06,Pending
350,112,2025-08-10,Cancelled
351,85,2025-05-05,Pending
352,143,2026-02-20,Pending
353,130,2025-04-05,Pending
354,95,2025-12-16,Completed
355,126,2025-05-26,Pending
356,61,2026-02-25,Cancelled
357,105,2025-06-02,Completed
358,50,2025-08-11,Completed
359,120,2025-10-09,Cancelled
360,67,2025-11-22,Cancelled
361,111,2026-02-13,Completed
362,147,2025-05-31,Pending
363,188,2025-07-19,Pending
364,144,2025-05-09,Completed
365,63,2025-05-04,Pending
366,179,2025-11-10,Completed
367,154,2025-11-17,Completed
368,181,2026-01-06,Completed
369,140,2026-03-05,Completed
370,86,2025-06-01,Completed
371,184,2025-04-25,Pending
372,13,2025-10-23,Pending
373,125,2026-01-15,Completed
374,73,2025-04-17,Completed
375,32,2025-05-21,Completed
376,142,2025-03-27,Pending
377,158,2025-04-10,Completed
378,195,2025-11-18,Completed
379,194,2025-11-07,Pending
380,3,2025-11-02,Cancelled
381,198,2025-05-29,Cancelled
382,56,2025-10-21,Completed
383,133,2026-02-04,Cancelled
384,86,2025-07-05,Completed
385,188,2025-08-02,Pending
386,40,2025-08-30,Cancelled
387,91,2025-09-12,Cancelled
388,114,2025-07-19,Cancelled
389,171,2025-05-26,Completed
390,109,2025-10-11,Completed
391,171,2025-03-30,Pending
392,174,2025-03-19,Cancelled
393,3,2025-07-21,Completed
394,40,2025-11-14,Pending
395,190,2025-06-10,Completed
396,31,2025-07-10,Pending
397,189,2025-03-18,Completed
398,86,2025-07-27,Cancelled
399,5,2025-11-24,Pending
400,194,2026-01-26,Cancelled
401,74,2026-01-07,Pending
402,79,2026-01-22,Completed
403,3,2025-10-09,Cancelled
404,60,2025-09-28,Completed
405,153,2026-01-01,Cancelled
406,117,2025-09-30,Completed
407,66,2025-04-05,Cancelled
408,80,2025-06-05,Pending
409,13,2026-01-13,Cancelled
410,57,2025-07-09,Cancelled
411,147,2025-10-10,Pending
412,178,2025-12-20,Pending
413,13,2025-08-04,Cancelled
414,68,2026-01-23,Completed
415,35,2025-12-28,Completed
416,94,2025-07-02,Cancelled
417,56,2025-10-20,Pending
418,135,2026-01-01,Pending
419,18,2025-03-07,Pending
420,88,2025-10-14,Completed
421,158,2025-11-04,Completed
422,121,2025-05-18,Cancelled
423,50,2025-08-14,Cancelled
424,156,2025-05-18,Cancelled
425,72,2025-08-13,Cancelled
426,130,2026-01-26,Pending
427,16,2026-02-17,Completed
428,16,2025-10-26,Completed
429,103,2025-12-20,Cancelled
430,129,2025-08-23,Completed
431,150,2025-06-20,Cancelled
432,33,2025-04-29,Pending
433,185,2025-07-12,Completed
434,14,2025-04-29,Pending
435,41,2025-10-03,Completed
436,41,2025-05-08,Pending
437,52,2025-06-15,Cancelled
438,155,2026-02-19,Completed
439,76,2025-11-11,Pending
440,157,2025-04-29,Pending
441,108,2025-07-21,Cancelled
442,7,2025-03-30,Cancelled
443,198,2025-09-18,Completed
444,99,2025-03-20,Pending
445,184,2025-06-29,Completed
446,116,2025-06-25,Cancelled
447,120,2025-10-12,Completed
448,187,2025-03-24,Pending
449,80,2026-01-13,Completed
450,195,2026-03-02,Pending
451,65,2026-01-18,Cancelled
452,101,2026-02-25,Cancelled
453,158,2026-01-28,Completed
454,35,2025-06-14,Completed
455,102,2026-01-10,Completed
456,181,2025-09-15,Completed
457,100,2025-11-14,Completed
458,67,2025-10-20,Cancelled
459,200,2025-12-25,Cancelled
460,143,2025-06-13,Pending
461,122,2025-07-21,Pending
462,182,2025-03-09,Pending
463,30,2025-05-27,Cancelled
464,50,2026-02-06,Cancelled
465,173,2025-09-23,Cancelled
466,134,2025-04-01,Cancelled
467,16,2025-12-14,Pending
468,55,2025-06-07,Cancelled
469,106,2025-09-07,Cancelled
470,64,2026-02-17,Pending
471,161,2025-05-02,Cancelled
472,183,2025-03-19,Completed
473,6,2026-02-01,Cancelled
474,50,2025-07-05,Pending
475,163,2026-02-03,Pending
476,152,2025-03-16,Cancelled
477,175,2025-12-10,Pending
478,107,2025-06-21,Completed
479,148,2026-01-13,Cancelled
480,22,2025-07-13,Completed
481,30,2025-03-28,Cancelled
482,66,2025-07-08,Completed
483,101,2025-11-11,Pending
484,65,2026-02-20,Cancelled
485,98,2025-08-29,Pending
486,169,2025-09-07,Completed
487,85,2025-09-05,Cancelled
488,164,2025-12-26,Pending
489,190,2026-02-17,Pending
490,161,2026-01-09,Cancelled
491,101,2025-08-27,Pending
492,155,2025-03-23,Completed
493,109,2025-07-05,Cancelled
494,135,2025-09-26,Cancelled
495,80,2025-08-22,Pending
496,70,2025-06-14,Pending
497,5,2025-11-20,Cancelled
498,159,2026-02-18,Pending
499,93,2025-07-31,Completed
500,186,2025-07-17,Pending
