payment_id,policy_id,payment_date,amount
186,104,2026-01-03,1870.59
187,431,2025-11-13,728.05
188,330,2025-05-26,1435.14
189,51,2025-11-26,1673.92
190,93,2025-07-12,779.26
191,422,2025-06-22,1656.47
192,32,2025-12-10,1832.05
193,246,2025-09-25,1665.3
194,465,2025-08-22,1381.45
195,12,2025-05-04,983.71
196,360,2025-05-25,1685.8
197,76,2025-12-11,787.8
198,241,2025-12-06,1316.61
199,485,2025-10-02,643.64
200,159,2025-06-05,579.84
201,186,2025-04-15,1630.8
202,223,2025-11-11,199.73
203,35,2026-01-27,899.41
204,269,2026-02-04,912.11
205,29,2025-08-11,460.52
206,248,2025-04-29,990.53
207,319,2025-10-16,1570.73
208,407,2026-02-23,705.96
209,322,2025-10-18,819.17
210,455,2025-12-16,874.9
211,217,2025-09-14,1442.78
212,340,2025-03-23,593.01
213,439,2025-08-23,1314.91
214,28,2025-12-27,1287.15
215,41,2025-07-08,1751.06
216,88,2025-05-15,852.73
217,6,2025-07-21,248.9
218,210,2025-08-04,1185.49
219,92,2025-10-09,1376.41
220,346,2025-11-05,832.73
221,146,2025-11-27,244.13
222,439,2025-05-26,1408.2
223,194,2025-03-18,1144.09
224,200,2026-01-14,1850.1
225,37,2025-06-18,798.02
226,49,2025-12-15,1393.22
227,229,2026-01-18,210.36
228,406,2026-01-12,188.14
229,38,2025-05-22,615.33
230,484,2025-06-13,1253.17
231,492,2025-12-10,1738.17
232,329,2025-05-26,1093.86
233,164,2025-04-01,1197.49
234,129,2026-01-28,891.04
235,284,2025-12-31,1050.25
236,375,2026-02-22,405.28
237,105,2025-05-14,1198.62
238,197,2026-01-01,1418.56
239,440,2025-10-05,1473.01
240,479,2025-05-25,1805.05
241,392,2025-11-27,835.1
242,420,2025-03-29,1701.43
243,382,2025-05-31,1525.39
244,59,2025-07-28,1542.14
245,140,2026-03-03,428.63
246,291,2025-08-14,1478.07
247,279,2025-05-15,601.71
248,91,2026-02-02,1491.32
249,75,2025-12-25,375.66
250,300,2025-09-05,710.64
251,147,2025-08-01,1911.87
252,265,2025-05-05,1636.32
253,382,2025-05-24,489.97
254,290,2025-12-04,1612.33
255,445,2025-03-25,831.71
256,337,2025-05-18,1248.55
257,405,2025-06-17,1412.89
258,330,2025-03-15,1283.4
259,459,2026-03-04,1701.81
260,14,2025-12-28,156.42
261,89,2025-07-26,1854.23
262,423,2025-06-02,993.84
263,340,2025-09-19,1406.59
264,22,2025-06-06,111.82
265,198,2025-05-21,819.77
266,9,2025-06-06,1838.74
267,376,2025-07-10,1525.16
268,160,2025-07-07,1168.99
269,7,2026-01-11,274.14
270,31,2026-01-18,986.01
271,362,2025-05-04,1664.99
272,68,2026-02-08,1785.27
273,495,2025-03-21,1094.25
274,44,2025-05-19,643.11
275,259,2026-02-05,1252.8
276,168,2025-08-12,846.23
277,184,2025-06-05,369.32
278,471,2025-04-25,1181.94
279,403,2025-09-19,310.41
280,217,2025-05-08,370.83
281,354,2026-02-20,1357.89
282,490,2026-02-11,217.89
283,372,2025-07-31,1250.83
284,333,2025-03-13,487.83
285,65,2025-05-01,820.55
286,109,2025-06-06,1650.34
287,367,2025-04-26,461.06
288,46,2025-12-13,239.23
289,52,2025-03-17,785.84
290,444,2025-07-06,1260.28
291,168,2025-06-01,196.42
292,427,2025-10-12,825.66
293,471,2025-06-28,684.28
294,200,2026-02-01,347.96
295,115,2025-08-02,349.43
296,3,2025-03-17,136.27
297,258,2025-12-25,909.22
298,439,2025-11-14,790.04
299,457,2025-08-06,1832.29
300,406,2026-02-23,1124.47
301,227,2025-09-23,783.87
302,255,2025-12-10,207.26
303,496,2025-09-16,1665.79
304,404,2025-06-10,846.51
305,249,2025-05-11,1056.42
306,300,2025-07-27,1933.84
307,305,2025-12-24,832.91
308,292,2025-03-14,1593.09
309,212,2025-04-17,514.92
310,351,2025-05-27,1139.98
311,437,2025-09-07,753.1
312,84,2025-09-06,1043.33
313,159,2025-04-09,456.51
314,406,2025-06-06,625.42
315,396,2025-03-30,489.11
316,72,2025-12-10,1650.11
317,54,2025-06-26,1993.56
318,300,2025-12-19,593.84
319,275,2026-02-20,984.95
320,427,2025-06-20,1226.61
321,142,2026-01-11,1122.42
322,415,2025-05-26,1891.84
323,28,2025-09-27,1190.52
324,438,2025-12-31,1574.41
325,417,2025-07-19,831.1
326,290,2025-04-03,1729.57
327,238,2025-10-31,1053.95
328,10,2026-02-08,1234.81
329,244,2025-10-29,112.56
330,47,2025-10-30,408.98
331,253,2025-10-11,370.19
332,155,2025-11-16,1506.29
333,493,2025-11-16,168.22
334,274,2025-10-20,1388.84
335,147,2025-06-04,1461.12
336,53,2025-03-06,1028.04
337,216,2026-02-06,949.26
338,353,2026-01-25,1187.52
339,333,2025-08-10,934.46
340,200,2025-08-27,280.24
341,270,2025-05-16,619.85
342,95,2025-05-09,1060.05
343,276,2025-06-13,1874.72
344,487,2025-11-22,1359.49
345,159,2025-04-15,1176.18
346,275,2025-07-15,1317.8
347,492,2025-03-10,1994.64
348,327,2025-04-11,745.73
349,457,2025-09-21,1323.31
350,425,2026-02-17,169.12
351,77,2025-03-27,1771.53
352,446,2025-10-18,1281.2
353,377,2025-05-12,1705.56
354,98,2025-08-13,1346.88
355,382,2025-08-13,995.91
356,197,2025-06-21,137.91
357,366,2025-04-28,1125.96
358,261,2025-06-27,757.34
359,294,2025-07-25,303.91
360,413,2025-10-01,273.11
361,425,2025-04-05,1515.32
362,183,2025-04-30,820.33
363,359,2025-04-10,1625.63
364,399,2025-05-22,1888.54
365,402,2025-11-17,1765.34
366,438,2025-11-16,1343.83
367,174,2025-10-25,1815.52
368,158,2025-12-30,859.96
369,368,2025-09-28,628.93
370,133,2025-11-25,1222.71
371,481,2025-03-30,420.65
372,139,2025-12-03,887.26
373,381,2025-09-20,1648.08
374,215,2025-08-31,209.96
375,283,2025-04-08,1810.19
376,204,2025-05-30,1693.73
377,407,2025-07-01,1261.35
378,151,2025-06-10,351.73
379,448,2025-12-03,1280.37
380,415,2025-04-26,1940.8
381,269,2025-11-19,294.31
382,494,2025-04-10,713.89
383,439,2025-04-02,659.01
384,2,2025-11-17,671.17
385,475,2025-03-11,1342.28
386,41,2025-06-20,694.35
387,147,2025-04-22,1573.47
388,209,2025-04-28,1782.59
389,131,2025-08-16,1658.2
390,34,2025-06-09,446.2
391,418,2025-12-13,1628.06
392,30,2026-03-04,1557.74
393,424,2025-10-11,1783.18
394,67,2025-08-08,1964.27
395,256,2026-03-04,1787.89
396,320,2025-04-06,1710.6
397,427,2025-04-21,359.23
398,11,2025-12-08,1620.29
399,87,2025-08-24,358.96
400,268,2025-07-30,190.45
401,171,2025-09-13,1832.04
402,371,2025-08-27,1026.95
403,35,2025-07-15,873.24
404,336,2025-12-17,195.9
405,169,2026-01-28,1599.35
406,435,2025-03-11,1354.82
407,452,2025-09-08,1075.99
408,370,2025-03-17,1596.63
409,81,2025-03-27,1391.87
410,131,2025-03-13,626.22
411,445,2025-08-09,607.64
412,380,2025-10-01,733.43
413,173,2025-12-03,1134.28
414,414,2026-01-27,1225.58
415,226,2025-11-12,1107.87
416,468,2026-01-01,933.49
417,290,2025-07-28,1310.32
418,467,2026-01-25,1873.23
419,39,2025-08-08,1681.83
420,463,2025-05-06,1732.44
421,368,2025-08-16,484.8
422,498,2025-11-06,1664.39
423,372,2025-07-04,1268.82
424,247,2025-05-26,917.45
425,393,2025-08-19,659.84
426,343,2025-06-19,569.51
427,477,2026-01-27,949.43
428,89,2025-11-09,700.91
429,392,2025-05-20,1047.43
430,372,2025-08-15,1759.38
431,269,2025-10-08,720.22
432,472,2026-01-04,343.03
433,237,2026-02-14,275.38
434,201,2026-01-26,313.71
435,126,2026-01-15,1272.81
436,163,2025-08-03,1677.07
437,318,2025-09-18,1324.91
438,61,2025-04-20,297.94
439,55,2025-04-22,1594.95
440,129,2025-12-09,1144.05
441,389,2025-08-22,1018.43
442,98,2025-07-09,951.68
443,409,2025-04-02,1187.98
444,264,2025-07-21,231.83
445,180,2025-04-25,543.06
446,446,2025-09-07,1233.25
447,418,2025-03-12,1851.17
448,114,2025-04-21,660.07
449,250,2025-10-15,441.91
450,490,2025-09-15,1212.88
451,92,2025-12-03,1051.81
452,470,2026-02-06,786.77
453,354,2025-09-05,881.75
454,276,2025-05-09,423.61
455,285,2025-08-30,1686.82
456,318,2026-02-12,1703.29
457,209,2026-01-31,1089.78
458,297,2025-05-17,367.75
459,138,2026-03-04,342.81
460,302,2025-11-28,1767.93
461,239,2025-04-07,1156.36
462,354,2025-07-25,480.96
463,15,2025-10-03,1725.51
464,359,2025-06-02,1416.61
465,413,2025-05-31,1265.26
466,366,2025-08-26,175.01
467,67,2025-10-04,866.94
468,97,2025-08-04,1314.78
469,430,2025-04-03,229.4
470,39,2025-03-13,1398.64
471,430,2025-08-31,1753.1
472,297,2026-02-16,1929.0
473,102,2026-02-21,1913.51
474,366,2026-01-13,1528.17
475,248,2025-03-18,768.42
476,255,2025-10-23,1903.12
477,259,2025-06-15,714.69
478,330,2026-02-24,1877.74
479,129,2026-02-13,546.71
480,471,2025-09-14,1236.42
481,478,2025-10-02,1782.63
482,495,2025-07-02,117.96
483,197,2025-10-11,1631.53
484,157,2025-05-05,1014.38
485,303,2025-05-25,1411.58
486,292,2025-12-10,521.03
487,203,2025-07-05,174.66
488,168,2025-05-05,453.37
489,146,2025-08-08,1906.39
490,498,2026-01-25,654.42
491,374,2025-08-07,1112.29
492,392,2025-06-27,895.19
493,68,2025-12-06,1664.41
494,398,2025-08-23,1270.06
495,21,2025-06-03,903.75
496,135,2025-06-14,851.92
497,17,2025-05-15,1923.89
498,280,2025-06-30,879.26
499,6,2025-04-19,505.26
500,389,2025-09-19,1122.68
501,97,2025-04-15,329.33
502,364,2025-03-15,239.58
503,298,2025-12-08,274.16
504,394,2025-10-05,754.16
505,385,2025-10-21,200.78
506,430,2025-09-18,1746.65
507,462,2026-03-02,1610.53
508,105,2025-12-21,132.81
509,263,2025-06-24,1718.98
510,345,2025-05-04,1402.24
511,210,2025-08-12,126.79
512,335,2025-07-10,1636.0
513,407,2025-09-08,254.71
514,65,2025-07-15,986.27
515,61,2025-04-20,657.81
516,441,2025-11-05,1231.81
517,396,2025-04-22,885.64
518,290,2026-01-07,1456.83
519,439,2025-04-11,1898.35
520,226,2025-07-12,471.62
521,143,2025-08-03,441.21
522,353,2025-03-17,321.44
523,399,2025-04-19,403.5
524,439,2025-05-06,740.67
525,371,2025-09-07,1564.78
526,418,2025-05-06,677.41
527,196,2025-12-19,1991.36
528,286,2025-05-28,1427.41
529,2,2025-05-04,1548.34
530,39,2025-08-24,1346.61
531,169,2025-09-28,1301.79
532,378,2025-08-03,628.61
533,395,2025-12-19,1304.5
534,157,2025-03-24,1519.56
535,75,2025-08-30,766.04
536,137,2026-01-01,1756.9
537,73,2025-04-30,971.78
538,451,2025-04-20,216.8
539,321,2025-10-17,1086.12
540,445,2025-12-03,978.77
541,427,2025-09-21,191.99
542,14,2025-04-21,995.48
543,124,2026-02-13,1955.03
544,274,2026-02-19,1888.56
545,94,2025-09-19,110.14
546,110,2025-10-14,1069.1
547,255,2025-07-21,713.91
548,463,2025-11-02,1916.3
549,165,2025-06-25,1694.62
550,57,2025-03-17,517.03
551,306,2025-12-24,313.96
552,297,2025-05-14,1108.43
553,83,2025-11-05,1108.48
554,32,2025-10-10,1962.27
555,95,2025-04-21,446.99
556,346,2025-11-23,750.11
557,345,2025-04-30,1977.38
558,240,2025-08-15,1247.96
559,384,2025-09-02,413.44
560,270,2025-11-20,1718.64
561,395,2025-05-19,579.17
562,49,2025-04-28,998.06
563,198,2025-11-03,1061.16
564,423,2025-07-15,752.58
565,81,2025-09-27,192.8
566,92,2026-01-28,1513.09
567,329,2025-09-13,420.19
568,197,2025-12-11,1091.7
569,236,2025-03-25,1372.84
570,219,2025-03-14,1336.83
571,194,2025-12-14,946.46
572,180,2025-12-18,322.98
573,389,2025-04-07,922.35
574,383,2025-06-03,1347.81
575,104,2025-09-12,1443.3
576,364,2025-04-23,792.28
577,219,2025-07-14,1510.17
578,205,2025-11-19,819.47
579,197,2026-01-30,1854.81
580,41,2025-03-11,615.43
581,172,2025-06-12,330.23
582,221,2025-03-16,1929.75
583,325,2025-03-11,1191.53
584,301,2025-03-27,1859.76
585,182,2025-11-14,854.62
586,132,2025-03-21,1397.08
587,346,2025-06-22,1196.25
588,24,2025-12-17,1167.73
589,185,2025-10-18,863.38
590,184,2025-11-06,1696.17
591,76,2025-03-30,677.49
592,181,2025-11-19,739.94
593,299,2025-09-25,1311.21
594,325,2025-04-11,1097.27
595,451,2026-01-21,1482.65
596,457,2025-10-13,457.99
597,31,2025-07-09,207.3
598,26,2025-05-01,1021.16
599,273,2025-11-28,957.99
600,194,2025-08-12,1744.78
601,394,2025-03-28,1459.67
602,48,2025-08-29,1842.0
603,458,2026-03-05,1134.27
604,76,2026-03-04,1583.57
605,167,2025-09-05,1847.57
606,81,2025-03-07,1053.7
607,242,2025-03-08,1429.24
608,415,2025-04-30,1454.15
609,248,2025-10-23,1715.69
610,452,2025-11-09,288.48
611,75,2025-05-08,1625.93
612,185,2025-03-08,1217.97
613,332,2025-12-17,1034.01
614,465,2025-12-16,931.92
615,218,2026-02-01,1115.05
616,156,2025-03-08,825.54
617,68,2025-11-26,1044.19
618,72,2025-04-16,1513.43
619,283,2025-07-26,1837.56
620,44,2025-06-29,1780.5
621,99,2025-04-28,1225.93
622,18,2025-07-17,659.35
623,312,2025-12-25,375.73
624,210,2025-05-11,1894.93
625,262,2025-04-18,858.6
626,415,2025-04-05,1348.53
627,462,2025-11-10,1223.87
628,370,2025-11-30,839.48
629,162,2025-07-10,1235.34
630,335,2025-06-08,355.81
631,402,2025-08-18,1376.29
632,44,2025-04-10,530.66
633,65,2025-10-14,289.79
634,451,2025-03-17,1143.1
635,350,2025-10-29,1573.51
636,11,2025-11-27,1971.3
637,327,2025-11-04,1857.82
638,104,2025-08-23,1809.33
639,78,2025-10-17,1328.37
640,442,2025-09-07,1793.57
641,494,2025-11-22,357.95
642,366,2026-01-23,238.02
643,41,2025-03-24,393.13
644,67,2025-08-31,1754.98
645,125,2025-04-08,1442.98
646,439,2025-05-10,1576.93
647,121,2025-10-16,1872.75
648,351,2025-05-17,489.97
649,374,2025-10-02,1941.77
650,90,2025-03-17,374.57
651,15,2025-05-06,1867.77
652,3,2025-09-25,1196.34
653,366,2025-03-17,1749.03
654,90,2025-07-25,1104.17
655,284,2025-09-29,693.11
656,205,2025-04-19,767.23
657,200,2026-01-28,1007.52
658,300,2025-12-06,1368.39
659,145,2025-03-30,443.41
660,244,2026-02-10,341.21
661,108,2025-05-28,339.63
662,217,2025-09-02,1738.25
663,430,2025-08-31,912.24
664,439,2025-10-24,285.72
665,20,2025-03-07,1515.29
666,61,2026-02-10,1584.3
667,116,2026-01-19,1048.96
668,332,2025-10-04,1767.61
669,353,2025-04-23,1520.91
670,86,2026-01-13,826.63
671,226,2025-10-10,1542.43
672,482,2025-11-13,939.52
673,294,2026-01-24,1012.6
674,73,2025-07-05,1890.39
675,452,2025-07-24,1802.29
676,333,2025-12-07,1765.76
677,166,2025-09-01,1912.83
678,308,2025-04-25,1153.59
679,148,2025-11-24,1174.83
680,49,2025-05-26,866.31
681,148,2025-11-23,464.24
682,325,2025-09-12,1200.98
683,197,2025-11-30,1064.52
684,126,2025-04-01,1886.35
685,176,2025-08-27,963.84
686,316,2026-02-13,1411.32
687,465,2025-04-15,1724.09
688,155,2026-03-01,1265.04
689,215,2025-05-29,454.13
690,14,2026-01-09,906.23
691,147,2025-04-09,1408.72
692,241,2025-08-08,1570.79
693,147,2026-02-20,1925.48
694,268,2025-10-01,1188.59
695,65,2025-11-25,398.19
696,480,2025-10-13,1555.83
697,383,2025-11-14,1923.32
698,222,2025-10-05,1078.48
699,112,2026-02-20,819.98
700,406,2025-08-28,310.42
701,120,2025-08-09,1825.03
702,270,2025-07-24,604.81
703,72,2025-07-12,1309.17
704,132,2026-02-04,1372.33
705,294,2025-05-27,725.39
706,418,2026-02-26,1931.79
707,102,2025-06-09,539.1
708,175,2025-05-27,658.85
709,120,2025-04-14,1056.12
710,264,2026-01-10,1922.96
711,376,2026-03-01,656.03
712,372,2025-08-29,140.49
713,358,2025-12-04,939.52
714,329,2026-02-20,1496.36
715,172,2025-08-05,847.85
716,83,2025-12-27,1771.65
717,373,2025-09-15,528.44
718,181,2025-11-22,582.01
719,352,2025-08-05,1571.69
720,64,2025-10-30,398.15
721,104,2025-03-29,516.96
722,39,2025-11-03,1447.76
723,456,2026-01-04,479.77
724,225,2025-03-09,1977.56
725,57,2026-01-30,503.86
726,228,2025-03-11,552.21
727,415,2025-05-18,1531.74
728,352,2026-02-11,1177.24
729,455,2025-11-12,1165.99
730,384,2025-10-03,1240.21
731,71,2025-03-07,1514.12
732,151,2025-08-14,501.5
733,275,2025-11-08,556.26
734,338,2025-03-08,1523.95
735,272,2025-03-09,899.9
736,39,2025-10-18,1489.3
737,447,2025-06-05,517.06
738,174,2025-08-14,543.84
739,473,2025-11-04,1500.89
740,247,2025-12-05,207.86
741,46,2026-02-03,790.46
742,395,2025-10-09,808.29
743,239,2025-10-22,1052.22
744,361,2025-05-25,1387.3
745,7,2025-09-11,1833.32
746,101,2025-11-14,387.68
747,245,2025-06-19,110.76
748,263,2025-04-11,909.97
749,53,2026-02-21,157.62
750,33,2025-03-17,1679.18
751,430,2025-09-24,300.02
752,457,2025-09-09,1321.31
753,25,2026-02-13,1328.58
754,192,2025-04-20,611.55
755,380,2025-09-11,1388.74
756,135,2025-12-12,1004.23
757,4,2026-02-12,212.33
758,337,2025-08-16,862.73
759,353,2025-11-14,855.92
760,183,2025-04-25,1519.49
761,159,2025-08-11,859.43
762,319,2025-12-17,1066.18
763,192,2025-11-11,102.67
764,277,2025-12-09,300.76
765,306,2025-07-17,264.72
766,281,2026-01-18,1902.17
767,295,2025-07-31,414.83
768,398,2025-03-05,262.79
769,73,2025-03-06,1433.42
770,35,2025-11-20,1415.91
771,492,2025-05-01,1440.41
772,285,2025-06-18,329.58
773,163,2025-10-01,1530.11
774,309,2025-08-07,873.43
775,10,2025-11-12,785.98
776,416,2026-01-07,1572.58
777,23,2025-06-17,707.54
778,206,2025-08-22,1053.0
779,405,2025-11-28,1172.99
780,262,2025-08-09,938.11
781,43,2025-05-15,596.16
782,87,2025-08-16,1053.09
783,122,2025-03-08,1846.87
784,79,2025-07-14,1378.33
785,50,2025-06-12,1976.71
786,200,2025-04-16,961.61
787,271,2025-04-06,1773.96
788,163,2025-07-07,1306.75
789,260,2025-08-10,591.88
790,450,2025-11-17,292.45
791,130,2026-01-29,386.33
792,174,2026-02-11,542.95
793,4,2026-01-03,1712.05
794,194,2025-06-30,803.43
795,192,2026-01-08,725.41
796,166,2026-02-04,1851.05
797,157,2025-09-18,307.78
798,206,2025-05-04,835.55
799,459,2025-10-04,1698.22
800,269,2025-11-06,620.21
801,116,2026-02-14,947.16
802,243,2025-11-17,1846.78
803,198,2025-05-01,1565.89
804,368,2025-06-23,743.75
805,255,2025-12-30,1780.79
806,237,2025-07-16,1267.35
807,3,2025-06-03,898.0
808,123,2025-04-19,1037.8
809,110,2025-04-03,834.66
810,77,2026-03-04,404.78
811,407,2025-04-05,1975.17
812,116,2025-09-16,989.5
813,29,2025-06-20,1377.0
814,7,2025-05-05,1883.13
815,103,2025-12-14,100.6
816,50,2025-06-21,867.03
817,139,2025-08-26,1587.58
818,312,2026-01-08,1354.61
819,150,2025-07-25,1987.01
820,31,2025-05-02,777.25
821,285,2025-05-13,1609.89
822,127,2025-03-09,1243.73
823,377,2025-09-11,132.57
824,473,2025-04-27,1561.22
825,402,2025-10-09,978.3
826,406,2025-08-18,112.14
827,445,2025-08-23,101.88
828,130,2026-01-07,1465.47
829,213,2025-12-18,851.44
830,419,2025-09-30,984.38
831,364,2026-01-08,696.61
832,12,2025-04-15,1176.28
833,211,2025-07-02,1212.47
834,125,2025-09-13,1916.85
835,16,2025-09-11,1204.09
836,173,2025-08-16,360.62
837,419,2025-07-19,1208.59
838,496,2025-05-28,1387.02
839,8,2025-09-02,1066.56
840,36,2025-11-29,348.87
841,232,2025-05-12,1067.25
842,71,2025-08-20,836.03
843,468,2025-08-21,1768.97
844,361,2026-03-02,1989.02
845,314,2026-02-07,821.09
846,311,2025-05-05,588.41
847,274,2025-04-07,626.17
848,97,2025-09-14,620.47
849,88,2026-01-05,1742.61
850,408,2025-04-25,765.97
851,78,2026-02-26,542.14
852,313,2025-12-04,294.09
853,1,2025-08-20,1302.92
854,165,2025-11-24,257.53
855,139,2025-11-10,1892.82
856,430,2025-05-27,1491.54
857,100,2025-05-09,1014.08
858,264,2025-06-02,1148.83
859,474,2025-09-19,1527.35
860,451,2025-03-27,1119.9
861,408,2025-03-07,384.2
862,182,2025-06-24,1608.06
863,134,2026-01-18,1871.15
864,197,2025-10-27,604.14
865,389,2025-03-20,1922.81
866,494,2025-06-01,447.45
867,214,2025-12-24,225.86
868,344,2025-05-26,840.06
869,377,2025-12-18,310.47
870,144,2026-01-22,161.07
871,416,2026-02-06,1592.38
872,94,2025-11-02,161.42
873,364,2025-08-16,1652.28
874,334,2026-01-30,124.69
875,430,2026-02-26,1928.72
876,4,2025-08-20,1362.71
877,45,2025-11-07,1023.27
878,52,2025-10-01,1500.9
879,205,2025-11-27,1043.55
880,257,2025-09-24,1157.1
881,244,2025-06-05,1389.57
882,30,2025-12-22,370.16
883,414,2025-08-22,1606.61
884,331,2025-05-25,1618.39
885,281,2025-11-07,1206.5
886,46,2025-09-21,1849.71
887,75,2025-11-30,1432.47
888,279,2025-09-22,138.57
889,60,2026-02-02,613.05
890,451,2026-01-13,1286.9
891,36,2025-11-27,396.08
892,389,2025-12-01,1439.55
893,79,2025-06-03,978.51
894,294,2025-09-09,1682.96
895,46,2026-01-16,1401.37
896,371,2026-02-15,1276.82
897,441,2025-11-18,1272.91
898,382,2025-03-15,1257.12
899,275,2025-03-25,342.05
