policy_id,policy_holder_id,policy_type,start_date,premium_amount
62,151,Vehicle,2023-07-07,272.97
63,116,Vehicle,2023-06-28,437.06
64,256,Health,2024-02-09,1920.53
65,236,Vehicle,2023-06-21,1458.75
66,82,Life,2023-05-30,311.6
67,170,Vehicle,2024-03-30,495.47
68,121,Health,2024-07-30,1878.07
69,115,Vehicle,2024-08-07,1021.0
70,220,Health,2024-02-11,1733.64
71,94,Vehicle,2024-02-25,1941.75
72,179,Vehicle,2025-02-22,298.92
73,141,Life,2025-01-11,1710.05
74,92,Life,2024-08-23,1502.55
75,261,Health,2023-09-20,1007.27
76,161,Vehicle,2025-01-18,718.42
77,193,Vehicle,2023-05-15,347.62
78,265,Health,2024-11-29,214.1
79,243,Vehicle,2024-03-05,1029.11
80,62,Vehicle,2023-10-29,640.04
81,74,Life,2024-03-19,586.13
82,118,Life,2024-02-27,1192.23
83,249,Health,2023-12-22,1587.79
84,157,Health,2023-03-30,1848.99
85,193,Life,2023-12-11,1888.98
86,156,Health,2023-09-15,1031.65
87,150,Vehicle,2024-10-17,1173.63
88,227,Vehicle,2023-04-08,539.26
89,235,Life,2024-10-23,1718.77
90,254,Life,2023-05-08,207.77
91,278,Vehicle,2024-03-17,449.56
92,201,Health,2023-04-21,539.27
93,170,Vehicle,2025-03-02,754.93
94,266,Life,2024-12-19,1834.64
95,251,Vehicle,2023-07-19,247.9
96,270,Health,2024-12-11,791.43
97,25,Vehicle,2025-02-06,1833.35
98,153,Life,2025-01-07,291.1
99,212,Health,2024-07-06,1128.22
100,35,Health,2024-01-10,638.3
101,223,Health,2024-02-22,347.64
102,93,Health,2024-08-10,529.18
103,19,Health,2024-01-28,561.43
104,89,Vehicle,2023-08-07,1777.32
105,81,Life,2023-12-02,401.02
106,130,Vehicle,2023-06-11,813.95
107,249,Life,2023-10-02,751.67
108,69,Health,2024-02-29,1770.0
109,265,Health,2024-07-20,1770.04
110,6,Vehicle,2023-06-14,573.57
111,47,Health,2024-07-16,667.56
112,256,Health,2023-08-30,497.01
113,97,Life,2023-09-29,1958.24
114,297,Health,2023-03-16,979.12
115,114,Vehicle,2023-07-23,613.04
116,80,Vehicle,2024-12-26,807.15
117,268,Life,2023-07-16,996.47
118,224,Vehicle,2024-05-27,1702.17
119,123,Health,2023-07-07,296.35
120,81,Vehicle,2023-11-29,1745.74
121,111,Vehicle,2023-03-19,1440.53
122,176,Life,2023-11-11,1165.2
123,19,Life,2024-12-26,1478.79
124,126,Vehicle,2023-07-08,364.88
125,112,Life,2024-07-28,258.84
126,109,Vehicle,2024-08-24,1135.1
127,220,Vehicle,2023-06-08,896.26
128,300,Vehicle,2024-02-21,1866.39
129,179,Life,2023-12-23,664.51
130,210,Vehicle,2024-12-05,586.96
131,87,Life,2023-11-04,1459.48
132,124,Health,2024-09-14,804.12
133,268,Health,2024-08-14,1652.67
134,29,Health,2024-01-27,1580.73
135,133,Vehicle,2025-02-03,1184.66
136,48,Life,2024-03-04,1668.49
137,268,Life,2023-08-23,1088.48
138,74,Vehicle,2023-09-13,1338.26
139,97,Health,2024-07-01,987.84
140,172,Vehicle,2023-12-18,1308.33
141,70,Life,2023-10-20,559.3
142,3,Vehicle,2024-04-05,1338.03
143,102,Health,2023-11-25,1747.26
144,12,Health,2024-01-24,1188.55
145,6,Health,2024-09-27,884.93
146,166,Life,2023-07-07,1172.84
147,243,Life,2024-11-07,1175.21
148,20,Vehicle,2024-04-20,1473.16
149,235,Vehicle,2024-06-02,1129.68
150,281,Health,2024-07-04,1253.4
151,227,Life,2023-11-02,1442.72
152,224,Health,2024-03-25,1291.7
153,281,Life,2024-10-13,749.42
154,137,Vehicle,2024-12-28,1108.24
155,102,Life,2024-12-18,1935.69
156,159,Health,2024-12-08,562.97
157,173,Life,2023-12-24,727.95
158,66,Health,2023-12-08,907.34
159,140,Life,2023-10-29,513.98
160,42,Life,2023-04-04,850.52
161,60,Vehicle,2023-12-22,456.43
162,124,Health,2023-08-29,521.0
163,34,Vehicle,2024-02-27,1549.01
164,7,Life,2024-12-12,1316.33
165,10,Health,2024-01-06,1300.15
166,50,Health,2023-07-23,1516.1
167,300,Life,2024-03-13,1950.12
168,46,Life,2024-02-14,883.8
169,167,Life,2024-05-22,247.81
170,271,Vehicle,2025-01-27,800.85
171,186,Health,2025-01-04,1908.64
172,46,Health,2023-06-07,330.5
173,132,Life,2023-04-04,1520.61
174,61,Health,2024-07-19,400.98
175,86,Life,2023-05-22,426.71
176,202,Vehicle,2023-06-06,1005.64
177,187,Health,2024-08-17,1898.56
178,181,Life,2024-12-10,224.62
179,6,Health,2024-03-17,1780.92
180,240,Life,2024-02-23,1114.1
181,70,Vehicle,2024-12-01,1665.93
182,54,Health,2023-10-01,736.69
183,48,Vehicle,2023-06-09,564.6
184,251,Life,2025-01-31,633.38
185,155,Vehicle,2024-05-24,1521.41
186,195,Vehicle,2023-05-07,602.05
187,90,Life,2025-02-05,1795.82
188,25,Health,2024-07-15,832.73
189,40,Life,2024-08-08,958.45
190,100,Life,2023-05-03,1855.18
191,50,Health,2023-09-10,1397.14
192,227,Health,2023-10-19,1247.74
193,266,Health,2024-08-11,953.44
194,115,Vehicle,2023-10-08,1773.68
195,177,Health,2025-02-07,1906.95
196,195,Vehicle,2024-11-03,648.96
197,78,Life,2024-08-07,316.13
198,173,Vehicle,2023-04-04,1148.51
199,72,Vehicle,2023-09-08,1913.54
200,74,Vehicle,2024-10-10,1210.45
201,15,Life,2023-03-29,597.71
202,300,Life,2023-04-01,1919.11
203,186,Life,2024-11-27,1774.84
204,173,Vehicle,2023-07-13,1112.28
205,92,Vehicle,2024-08-12,1584.47
206,65,Life,2023-07-24,350.95
207,13,Life,2024-08-29,1803.22
208,220,Vehicle,2023-12-26,607.71
209,248,Health,2024-04-18,1853.05
210,261,Vehicle,2024-04-26,1767.81
211,238,Vehicle,2024-06-18,775.58
212,88,Vehicle,2024-12-20,486.09
213,273,Life,2024-07-17,556.37
214,298,Life,2023-09-06,1149.08
215,186,Health,2024-12-18,635.27
216,10,Health,2023-09-10,1357.62
217,30,Vehicle,2024-05-20,1097.84
218,233,Vehicle,2024-06-21,344.28
219,194,Life,2024-02-14,508.05
220,249,Vehicle,2024-07-28,600.3
221,204,Vehicle,2024-05-13,836.0
222,122,Life,2023-04-14,1170.7
223,146,Health,2024-06-02,1467.04
224,226,Health,2023-12-11,937.57
225,244,Vehicle,2024-09-09,878.98
226,201,Life,2023-12-26,963.11
227,93,Health,2023-07-12,1280.44
228,34,Health,2024-08-16,1550.82
229,123,Vehicle,2024-10-08,536.94
230,146,Life,2023-09-04,1507.75
231,152,Health,2024-05-18,371.08
232,75,Life,2024-04-08,1046.13
233,281,Health,2025-01-17,1107.92
234,6,Vehicle,2023-05-23,1508.41
235,174,Vehicle,2023-08-18,1952.51
236,276,Vehicle,2023-06-28,1176.3
237,202,Life,2024-06-12,949.12
238,192,Vehicle,2024-07-29,1817.74
239,230,Life,2023-07-18,602.96
240,151,Life,2023-12-04,1357.01
241,241,Health,2024-10-06,346.73
242,68,Health,2024-11-18,1749.23
243,167,Health,2024-11-16,812.61
244,2,Life,2023-12-14,483.99
245,41,Health,2023-09-27,702.28
246,131,Vehicle,2023-08-05,1571.47
247,55,Vehicle,2024-03-19,1406.71
248,208,Health,2024-12-18,1944.06
249,282,Life,2024-05-27,1352.75
250,198,Vehicle,2024-10-14,499.65
251,103,Vehicle,2023-05-10,229.69
252,159,Health,2024-02-08,1929.91
253,155,Life,2023-12-21,987.38
254,164,Life,2024-12-24,1437.8
255,39,Health,2024-07-19,1850.27
256,249,Health,2023-06-07,636.27
257,125,Life,2024-02-24,473.76
258,87,Health,2024-05-29,1090.89
259,254,Life,2025-02-17,1178.98
260,278,Vehicle,2023-05-24,260.48
261,8,Health,2025-02-02,886.82
262,279,Vehicle,2025-01-07,1437.83
263,53,Vehicle,2025-01-27,1400.89
264,177,Life,2024-09-18,530.12
265,44,Health,2024-10-02,1499.69
266,290,Vehicle,2025-01-04,643.33
267,139,Health,2024-09-06,649.66
268,83,Health,2024-07-10,1180.96
269,28,Vehicle,2023-11-29,1961.51
270,160,Vehicle,2024-12-12,1780.31
271,273,Health,2024-04-28,1656.15
272,207,Vehicle,2024-07-10,350.31
273,266,Vehicle,2024-06-20,325.94
274,54,Vehicle,2024-01-16,1964.29
275,182,Health,2023-06-08,1035.28
276,250,Life,2023-04-01,745.91
277,60,Life,2024-03-10,1573.41
278,298,Life,2024-02-26,697.53
279,294,Health,2023-09-10,1674.8
280,296,Vehicle,2023-07-05,1570.79
281,101,Vehicle,2024-01-23,1204.46
282,1,Health,2024-12-02,900.07
283,83,Health,2023-04-27,718.96
284,49,Health,2025-02-20,237.72
285,91,Health,2023-09-06,1339.64
286,287,Vehicle,2024-09-17,496.52
287,146,Vehicle,2023-08-19,1874.64
288,270,Vehicle,2024-11-26,1056.27
289,242,Health,2023-12-18,991.3
290,47,Life,2024-02-18,726.89
291,41,Vehicle,2024-12-02,1995.98
292,201,Life,2025-02-26,1405.5
293,62,Life,2024-01-30,544.93
294,60,Vehicle,2023-10-22,1014.42
295,203,Health,2024-11-16,1343.65
296,225,Life,2023-04-22,1405.27
297,74,Vehicle,2025-02-10,1181.58
298,276,Health,2024-03-20,1234.24
299,109,Life,2023-11-27,1225.64
300,233,Vehicle,2024-11-08,200.32
301,157,Health,2024-09-23,607.04
302,194,Life,2024-04-03,828.98
303,285,Life,2024-09-29,1065.46
304,97,Vehicle,2024-10-02,864.3
305,121,Health,2024-09-03,1287.97
306,88,Vehicle,2023-08-19,1936.12
307,152,Life,2023-11-04,1363.02
308,176,Vehicle,2023-08-09,1177.95
309,189,Life,2024-01-26,1973.02
310,32,Health,2024-01-17,1797.55
311,101,Vehicle,2024-10-20,227.45
312,119,Life,2023-12-11,1492.37
313,188,Life,2024-02-12,1393.1
314,49,Life,2024-09-27,704.76
315,185,Vehicle,2024-10-04,912.1
316,95,Health,2024-01-08,428.61
317,58,Health,2023-03-22,548.15
318,274,Health,2024-01-30,1251.24
319,29,Vehicle,2024-02-08,1596.71
320,34,Vehicle,2024-11-05,903.39
321,91,Health,2025-02-09,1518.7
322,261,Life,2023-06-28,700.81
323,283,Life,2024-09-05,1345.0
324,239,Life,2023-09-04,770.87
325,176,Vehicle,2023-04-18,1547.61
326,137,Life,2023-04-23,1797.77
327,34,Vehicle,2024-02-12,1074.12
328,269,Vehicle,2024-10-27,1093.39
329,61,Life,2025-02-24,1993.78
330,84,Health,2024-12-14,1911.32
331,32,Life,2024-01-04,1850.01
332,201,Vehicle,2024-01-07,1883.15
333,27,Vehicle,2024-11-15,1200.02
334,23,Vehicle,2023-10-03,618.67
335,190,Vehicle,2024-04-22,1837.28
336,196,Health,2024-02-23,830.68
337,23,Vehicle,2023-10-11,1457.33
338,191,Life,2024-06-17,893.83
339,260,Vehicle,2025-02-27,1280.46
340,287,Health,2025-01-22,403.6
341,74,Life,2024-12-22,1984.61
342,45,Vehicle,2024-09-10,1834.0
343,20,Vehicle,2024-11-13,1389.89
344,125,Life,2024-10-08,1440.73
345,277,Vehicle,2023-11-11,1405.96
346,187,Health,2024-03-02,1512.74
347,231,Health,2023-06-05,1649.17
348,55,Life,2023-10-17,408.59
349,30,Health,2023-09-30,1863.96
350,120,Health,2024-01-22,730.89
351,284,Life,2023-06-06,706.98
352,67,Health,2025-02-16,1786.52
353,13,Vehicle,2024-10-16,1954.86
354,236,Life,2023-04-22,1489.89
355,208,Health,2025-01-23,1803.95
356,267,Health,2023-08-22,1172.08
357,26,Health,2024-12-02,582.49
358,96,Life,2023-06-28,999.52
359,283,Health,2025-03-01,696.46
360,158,Life,2023-08-01,478.27
361,26,Life,2023-05-06,966.86
362,257,Life,2023-09-22,737.92
363,122,Life,2024-03-28,291.05
364,290,Vehicle,2023-05-30,1880.32
365,97,Life,2024-01-16,1248.31
366,233,Life,2024-03-19,1172.13
367,22,Vehicle,2024-09-28,1790.43
368,109,Health,2024-09-02,1383.8
369,38,Health,2023-10-04,216.89
370,89,Vehicle,2023-08-13,1521.25
371,291,Life,2023-11-10,283.6
372,272,Life,2023-11-04,266.5
373,60,Life,2025-02-08,851.49
374,85,Life,2023-06-25,420.48
375,137,Health,2025-02-01,520.13
376,295,Vehicle,2023-06-20,701.74
377,2,Life,2024-03-11,476.01
378,202,Health,2023-07-09,1052.43
379,293,Life,2024-12-27,507.24
380,261,Life,2024-08-26,913.91
381,9,Health,2024-12-20,219.33
382,270,Vehicle,2023-03-29,1072.39
383,177,Life,2023-03-21,558.37
384,32,Vehicle,2024-01-11,1329.78
385,292,Vehicle,2023-07-03,1565.4
386,242,Vehicle,2025-02-11,1290.64
387,9,Life,2023-12-04,1073.05
388,14,Life,2023-12-30,875.32
389,299,Life,2024-12-10,366.66
390,177,Vehicle,2025-02-25,1473.85
391,111,Health,2024-10-28,519.52
392,162,Health,2023-10-25,1652.85
393,48,Vehicle,2023-04-25,805.46
394,284,Life,2025-02-18,1441.81
395,296,Life,2023-07-19,968.57
396,80,Health,2024-06-12,1803.9
397,57,Vehicle,2023-12-11,1092.84
398,92,Life,2025-01-16,1643.87
399,198,Health,2024-05-09,1966.47
400,237,Health,2024-06-19,1287.82
401,92,Vehicle,2025-01-04,899.1
402,170,Vehicle,2023-08-23,704.55
403,225,Health,2024-02-16,225.66
404,64,Vehicle,2024-09-01,659.13
405,129,Vehicle,2025-01-15,994.59
406,77,Life,2023-06-14,1121.99
407,66,Life,2024-05-21,1327.54
408,22,Vehicle,2023-12-01,790.92
409,127,Life,2024-09-19,272.94
410,59,Vehicle,2024-10-03,1082.6
411,83,Vehicle,2024-03-13,547.87
412,144,Life,2025-02-25,1906.75
413,4,Life,2025-01-29,681.2
414,158,Life,2023-10-11,847.35
415,198,Health,2024-08-19,1658.33
416,189,Life,2024-03-31,351.69
417,17,Health,2024-12-30,731.89
418,17,Vehicle,2025-03-03,434.67
419,170,Vehicle,2024-09-23,458.33
420,40,Vehicle,2025-02-14,1824.37
421,81,Life,2025-01-21,381.64
422,104,Life,2024-06-28,465.14
423,239,Health,2025-01-11,1301.22
424,52,Vehicle,2024-07-11,504.14
425,251,Health,2024-07-05,243.0
426,166,Life,2023-07-24,1849.55
427,289,Health,2023-10-26,432.25
428,67,Vehicle,2023-08-24,1779.33
429,291,Vehicle,2023-06-16,338.9
430,36,Health,2023-08-21,1758.51
431,226,Life,2024-03-21,283.14
432,86,Life,2023-04-25,1241.12
433,288,Health,2024-08-25,1072.68
434,279,Health,2024-08-16,700.86
435,180,Vehicle,2023-12-10,1263.38
436,181,Life,2025-02-07,1233.79
437,269,Vehicle,2024-04-14,1518.83
438,60,Life,2024-10-25,1669.03
439,71,Vehicle,2024-01-28,1924.61
440,129,Vehicle,2024-12-18,1870.6
441,11,Health,2025-02-20,1319.86
442,43,Vehicle,2025-01-14,466.55
443,198,Life,2024-06-03,1324.08
444,237,Health,2024-03-23,1629.98
445,175,Health,2024-12-06,1005.83
446,56,Health,2024-04-19,1802.55
447,190,Health,2023-10-04,1045.96
448,285,Health,2023-03-24,524.99
449,225,Vehicle,2024-11-10,1063.62
450,219,Vehicle,2023-10-30,1940.58
451,263,Vehicle,2024-01-19,431.95
452,100,Vehicle,2024-05-09,539.21
453,160,Vehicle,2024-08-12,951.19
454,169,Vehicle,2024-04-11,784.85
455,226,Vehicle,2023-09-07,1146.83
456,143,Life,2024-11-03,1187.33
457,185,Health,2025-01-03,1276.87
458,237,Vehicle,2024-09-18,1320.5
459,185,Vehicle,2025-02-12,347.52
460,213,Health,2024-12-27,1329.37
461,71,Life,2023-08-10,410.6
462,30,Life,2023-07-25,1719.94
463,51,Health,2023-05-25,1823.85
464,20,Life,2023-12-29,928.94
465,31,Vehicle,2024-02-02,636.19
466,16,Health,2024-10-02,1950.33
467,180,Vehicle,2024-02-24,466.55
468,193,Life,2024-04-12,1164.4
469,162,Life,2024-08-18,1438.61
470,77,Health,2024-11-22,1292.73
471,226,Life,2024-10-05,859.14
472,161,Health,2024-01-23,1759.54
473,158,Life,2024-06-30,1072.43
474,41,Vehicle,2024-10-04,1356.22
475,160,Vehicle,2023-08-31,1163.96
476,140,Life,2024-04-09,1676.43
477,296,Vehicle,2024-04-28,205.56
478,132,Vehicle,2024-11-07,1045.87
479,233,Health,2023-09-27,821.68
480,48,Health,2023-12-21,1010.75
481,149,Vehicle,2024-05-02,953.51
482,47,Life,2024-04-27,647.75
483,59,Life,2023-10-02,1005.11
484,243,Vehicle,2023-06-30,1400.5
485,174,Health,2023-08-26,931.22
486,124,Health,2024-12-24,1415.38
487,69,Life,2023-06-09,1275.58
488,280,Health,2024-06-23,491.27
489,200,Health,2023-06-25,1138.58
490,298,Vehicle,2025-01-20,1077.86
491,227,Vehicle,2023-08-12,453.53
492,73,Vehicle,2024-06-16,892.61
493,214,Life,2024-01-02,765.82
494,149,Health,2024-01-27,1494.16
495,7,Vehicle,2023-08-07,1655.15
496,114,Life,2024-03-06,1447.64
497,192,Life,2023-06-18,256.16
498,287,Life,2023-03-29,563.53
499,161,Life,2023-04-08,1320.13
500,106,Health,2024-11-17,782.7
